NODO [m]    COTA [m.s.n.m]    LIN. GRAD [m]    PRESIÓN [mH2O]

     2       595.75       605.20       9.45
     3       596.00       605.19       9.19
     4       596.75       605.17       8.42
     5       597.00       605.17       8.17
     6       595.00       604.78       9.78
     7       594.50       604.24       9.74
     8       594.25       603.96       9.71
     9       594.25       603.94       9.69
     10       594.00       603.93       9.93
     11       593.50       603.93       10.43
     12       593.00       603.92       10.92
     13       593.00       603.92       10.92
     14       592.50       603.91       11.41
     15       592.25       603.91       11.66
     16       592.00       603.90       11.90
     17       592.00       603.90       11.90
     18       591.75       603.89       12.14
     19       591.50       603.89       12.39
     20       591.25       603.89       12.64
     21       591.00       603.88       12.88
     22       590.75       603.87       13.12
     23       590.50       603.87       13.37
     24       590.50       603.83       13.33
     25       590.25       603.83       13.58
     26       590.00       603.82       13.82
     27       589.75       603.82       14.07
     28       589.75       603.82       14.07
     29       589.50       603.81       14.31
     30       589.50       603.81       14.31
     31       589.25       603.80       14.55
     32       589.25       603.80       14.55
     33       589.00       603.80       14.80
     34       588.50       603.78       15.28
     35       588.25       603.78       15.53
     36       588.00       603.77       15.77
     37       588.00       603.77       15.77
     38       587.75       603.77       16.02
     39       587.50       603.76       16.26
     40       587.25       603.76       16.51
     41       587.25       603.75       16.50
     42       587.00       603.75       16.75
     43       586.75       603.75       17.00
     44       586.75       603.74       16.99
     45       586.50       603.74       17.24
     46       586.25       603.73       17.48
     47       586.25       603.72       17.47
     48       586.25       603.69       17.44
     49       586.25       603.69       17.44
     50       586.25       603.68       17.43
     51       586.00       603.68       17.68
     52       585.75       603.67       17.92
     53       585.50       603.67       18.17
     54       586.00       600.92       14.92
     55       586.25       600.93       14.68
     56       586.25       600.93       14.68
     57       586.25       600.94       14.69
     58       586.25       600.94       14.69
     59       586.50       600.94       14.44
     60       586.50       600.95       14.45
     61       586.75       600.95       14.20
     62       586.75       600.96       14.21
     63       587.00       600.96       13.96
     64       587.25       600.97       13.72
     65       587.50       600.97       13.47
     66       587.75       600.98       13.23
     67       588.00       600.98       12.98
     68       588.25       600.98       12.73
     69       588.25       600.99       12.74
     70       588.50       600.99       12.49
     71       588.75       600.98       12.23
     72       589.00       600.97       11.97
     73       589.00       600.96       11.96
     74       588.75       600.96       12.21
     75       588.75       600.96       12.21
     76       588.50       600.96       12.46
     77       588.50       600.95       12.45
     78       588.75       600.96       12.21
     79       588.75       600.97       12.22
     80       588.75       600.97       12.22
     81       588.75       600.98       12.23
     82       589.00       600.98       11.98
     83       589.00       600.99       11.99
     84       589.00       600.99       11.99
     85       588.75       601.00       12.25
     86       588.75       601.01       12.26
     87       588.75       601.03       12.28
     88       589.00       601.05       12.05
     89       589.25       601.09       11.84
     90       589.50       601.15       11.65
     91       589.75       601.21       11.46
     92       590.00       601.27       11.27
     93       590.25       601.55       11.30
     94       590.50       601.53       11.03
     95       590.75       601.52       10.77
     96       590.50       601.52       11.02
     97       590.50       601.51       11.01
     98       590.50       601.58       11.08
     99       590.50       601.56       11.06
     100       590.50       601.51       11.01
     101       590.75       601.47       10.72
     102       590.75       601.46       10.71
     103       590.75       601.44       10.69
     104       590.75       601.43       10.68
     105       590.50       601.43       10.93
     106       590.75       601.46       10.71
     107       591.00       601.43       10.43
     108       591.25       601.42       10.17
     109       591.50       601.41       9.91
     110       591.75       601.40       9.65
     111       591.75       601.40       9.65
     112       592.50       601.39       8.89
     113       592.75       601.38       8.63
     114       592.75       601.37       8.62
     115       593.00       601.36       8.36
     116       593.50       601.36       7.86
     117       593.75       601.35       7.60
     118       594.25       601.35       7.10
     119       594.25       601.36       7.11
     120       593.75       601.37       7.62
     121       593.25       601.37       8.12
     122       593.00       601.38       8.38
     123       592.75       601.39       8.64
     124       592.50       601.40       8.90
     125       592.00       601.40       9.40
     126       591.75       601.41       9.66
     127       591.75       601.41       9.66
     128       591.75       601.42       9.67
     129       591.25       601.43       10.18
     130       591.00       601.44       10.44
     131       590.75       601.79       11.04
     132       590.75       601.95       11.20
     133       591.00       602.13       11.13
     134       591.50       602.41       10.91
     135       591.75       602.52       10.77
     136       592.00       602.62       10.62
     137       592.00       602.76       10.76
     138       592.25       602.94       10.69
     139       592.75       603.20       10.45
     140       593.50       603.60       10.10
     141       593.75       603.78       10.03
     142       594.00       603.92       9.92
