TUBERIA     L [m]     D [mm]     V [m/s]     CAUDAL [l/S]

   1      152.71      380      1.5      175.6
   2      6.98      238      0.5      20.7
   3      26.42      238      0.5      20.7
   4      4.00      238      0.5      20.7
   5      13.40      238      3.5      155.0
   6      17.06      238      3.5      155.0
   7      8.99      238      3.5      155.0
   8      1.73      238      3.0      134.2
   9      13.60      238      0.5      20.7
   10      5.90      238      0.5      20.7
   11      6.22      238      0.5      20.7
   12      6.90      238      0.5      20.7
   13      6.65      238      0.5      20.7
   14      5.72      238      0.5      20.7
   15      6.11      238      0.5      20.7
   16      4.37      238      0.5      20.7
   17      4.49      238      0.5      20.7
   18      7.00      238      0.5      20.7
   19      4.41      238      0.5      20.7
   20      6.91      238      0.5      20.7
   21      7.38      238      0.5      20.7
   22      6.85      238      0.5      20.7
   23      6.57      238      0.5      20.7
   24      9.88      238      0.5      20.7
   25      5.62      238      0.5      20.7
   26      5.17      238      0.5      20.7
   27      6.26      238      0.5      20.7
   28      4.27      238      0.5      20.7
   29      5.30      238      0.5      20.7
   30      5.00      238      0.5      20.7
   31      4.77      238      0.5      20.7
   32      4.12      238      0.5      20.7
   33      4.82      238      0.5      20.7
   34      14.78      238      0.5      20.7
   35      6.12      238      0.5      20.7
   36      5.74      238      0.5      20.7
   37      4.79      238      0.5      20.7
   38      4.48      238      0.5      20.7
   39      5.26      238      0.5      20.7
   40      4.76      238      0.5      20.7
   41      4.95      238      0.5      20.7
   42      4.28      238      0.5      20.7
   43      5.42      238      0.5      20.7
   44      7.07      238      0.5      20.7
   45      5.69      238      0.5      20.7
   46      9.83      238      0.5      20.7
   47      5.93      238      0.5      20.7
   48      6.38      238      0.5      20.7
   49      7.01      238      0.5      20.7
   50      7.28      238      0.5      20.7
   51      5.10      238      0.5      20.7
   52      4.71      238      0.5      20.7
   53      1.69      238      0.5      20.7
   54      4.77      238      0.5      20.7
   55      5.08      238      0.5      20.7
   56      5.20      238      0.5      20.7
   57      4.09      238      0.5      20.7
   58      5.67      238      0.5      20.7
   59      4.83      238      0.5      20.7
   60      6.18      238      0.5      20.7
   61      4.62      238      0.5      20.7
   62      7.55      238      0.5      20.7
   63      5.42      238      0.5      20.7
   64      4.86      238      0.5      20.7
   65      4.89      238      0.5      20.7
   66      6.23      238      0.5      20.7
   67      5.21      238      0.5      20.7
   68      4.83      238      0.5      20.7
   69      5.19      238      0.5      20.7
   70      18.95      238      0.5      20.1
   71      13.22      238      0.5      20.1
   72      5.18      238      0.5      20.1
   73      3.62      238      0.5      20.1
   74      5.46      238      0.5      20.1
   75      2.29      238      0.5      20.1
   76      11.34      238      0.5      20.1
   77      10.83      238      0.5      20.1
   78      3.48      238      0.5      20.1
   79      3.62      238      0.5      20.1
   80      5.52      238      0.5      20.1
   81      6.75      238      0.5      20.1
   82      9.44      238      0.5      20.1
   83      8.80      238      0.5      20.1
   84      10.75      238      0.5      20.1
   85      5.91      238      0.9      40.8
   86      2.95      238      1.4      60.9
   87      4.61      238      1.4      60.9
   88      7.38      238      1.4      60.9
   89      10.03      238      1.4      60.9
   90      9.87      238      1.4      60.9
   91      10.21      238      1.4      60.9
   92      7.29      238      1.4      60.9
   93      24.13      238      0.4      19.0
   94      12.04      238      0.4      19.0
   95      10.38      238      0.4      19.0
   96      2.75      238      0.4      19.0
   97      3.28      238      1.8      79.9
   98      4.94      238      1.2      54.3
   99      10.47      238      1.2      54.3
   100      7.73      238      1.2      54.3
   101      5.55      238      0.8      33.6
   102      22.03      190      0.5      12.9
   103      3.48      190      0.5      12.9
   104      6.75      190      0.5      12.9
   105      3.07      238      0.5      20.7
   106      4.24      238      0.5      20.7
   107      8.27      238      0.5      20.7
   108      10.53      238      0.5      20.7
   109      9.50      238      0.5      20.7
   110      8.96      238      0.5      20.7
   111      12.07      238      0.5      20.7
   112      8.96      238      0.5      20.7
   113      13.20      238      0.5      20.7
   114      7.59      238      0.5      20.7
   115      9.49      238      0.5      20.7
   116      6.29      238      0.5      20.7
   117      6.39      238      0.5      20.7
   118      10.80      238      0.5      20.7
   119      6.94      238      0.5      20.7
   120      12.36      238      0.5      20.7
   121      10.86      238      0.5      20.7
   122      9.46      238      0.5      20.7
   123      7.40      238      0.5      20.7
   124      5.32      238      0.5      20.7
   125      7.82      238      0.5      20.7
   126      8.33      238      0.5      20.7
   127      10.77      238      0.5      20.7
   128      8.99      238      0.5      20.7
   129      9.09      238      0.5      20.7
   130      8.76      238      3.0      134.2
   131      6.78      238      3.0      134.2
   132      7.17      238      3.0      134.2
   133      11.74      238      3.0      134.2
   134      4.63      238      3.0      134.2
   135      4.22      238      3.0      134.2
   136      5.68      238      3.0      134.2
   137      7.58      238      3.0      134.2
   138      10.59      238      3.0      134.2
   139      12.70      238      3.0      134.2
   140      7.13      238      3.0      134.2
   141      5.88      238      3.0      134.2
